comment,label,df
`හුදෙකලා´ එකේ `ද´ ඇහෙනවද කාටහරි,0,B
18ක පෙනුමක් තියෙන්නේ ,0,B
2020 එනවා කිව්නාට මෙහෙම එයි කියලා හිතුවේ නෑ පට්ට,0,B
25 කැල්ල..හම්මෝ..,0,B
25 කෙල්ල අයියලගෙ කාලද කොහෙද ඉන්නෙ,1,B
25 ක් වගේ ???ඉතින් වැලලියන් ,1,B
25 ලුක් එක දැකල ඔලුව සවුත්තු උන තරිදු...,0,B
25ක පෙනුමක් කියපු කෑල්ලේ ඉදන් බලන එක නතර කලා ,0,B
"33ක් ගුවන්තොටුපළවල ලෝකයේ හිරවෙලා ඉන්නවා ඩුබායි 3 ඉන්නවලූ 3 දෙනෙක් ගන්න එක ගුවන් යානයක් එවන්නේ රජයේ ලගම ගොටු ද ඔබතුමා මේවා අහන්නෙ නැද්ද ? ටික්ට්ස් අවලංගු ,විසා නොමැති ,ලෙඩ්ඩු කොතරම් ඉන්නවඩ ගුවන් යානයක 200 ක් වත් යන්න පුලුවන් නේද",0,B
5 දෙනා කිව්වෙ මේ පස්දෙනාද..,0,B
5 ම සීස කරල ගතතෙ අනිත් උන් හුකද්දි හිරට තියෙන්න ඕන නිසාද ..බලු හුත්ති ..,1,B
50 එකෙක් අරිද්දි 25 එකෙක් ඇරියා වගේ ඇති..,1,B
6 වෙනි දරුව මගෙ කියලා හිතුන මම,0,B
6 වෙනි දරුවා හදාගන්න ඕනි වෙලා වගේ...,1,B
6 වෙනි ලමයා ස්වාභාවිකව හම්බුනානම් ඔච්චර කෑගහන්නෙ නෑ ,1,B
60 වත්තේ බඩූවක්,1,B
Hkzz...,0,B
"PHI ලයි, පොලීසියයි නැතුව. එයාල ඇත්ත අය. අපේ අය පහයි...",0,B
retire උනහම තාත්තගෙ චරිතෙට ගත්තනම් හරි,0,B
ROX ,0,B
Unp කියන්නෙ කන්නම ඉපදිච්ච ජාතියක් වැඩිය ඔානෙ නෑ.. මුන්ගෙ කාලෙ හිටපු පොලිස් මාධ්‍ය ප්‍රකාශක හිටියනම් මෙලහටත් හත්පොලේ ගූ ගාගෙන,1,B
video කරද්දි තාත්තා විදියට ගන්න හොදයිනේ බං ... ,0,B
video වල ඉන්න uncle වගේ ,0,B
අකව්න්ට් එක දාපන්,0,B
අකාලෙට ඉපදුන කාවයියෙක්,1,B
අකි විසිස්ටයි ඔබතුමියගේ කතාව අහගන ඉන්න ආසයි කෙරැවන්සරනයි ඔබතුමියට,0,B
අකිල ඉමල්ක,0,B
අකිල ඉමල්ක ජාඇල මචං එකට වරෙන් අද රෑ එතැන සෙට් වෙනවා,0,B
"අකෙ පට්ට..වෙසියෙ..තො.තොගෙ තාත්තට ජතකවද..පහක් වැදුවෙ පදුරැ වෙසි .තො..හිතපිය .තොඉපදුනෙ කොහෙද කියක..බල්ල,මෙවගෙ උතුම් රටක් තවත්..කොහෙද..තියෙන්නෙ..තොකියපු..වචනයක්..ගානෙ..තොගෙ.පවුලටම..සාප.වේවා සාප.වෙවා..සාප.වෙවා",1,B
අක්ක කෙනෙක් නේද,0,B
අක්ක බැදල නැත්තන් අපි පෝලිමක් දාමු අක්කේ...,1,B
අක්කගේ පූසා හොදටම පිං කරලා තියෙනවා ඉන්න...,0,B
අක්කට කාරයෙක් හොදටම හුකල වගෙ ඔය හුත්තිගෙ අම්මා ට හිකුවෙත් කාරයෙද්ද කොහෙද වගෙ,1,B
අක්කත් ඉන්නව එහෙනම්. ,0,B
අක්කා ඔයානම් සුපර් ඔයා කියන්න ඕන දේ මූනටම කියනවා ගොඩක් හොදයි ඔයා ඔයාලට ජේසු පිහිටයි,0,B
අක්කා කුඩු ගහලා එක්කෝ මානසික ලෙඩක්,1,B
අක්කා ට ඇඳුමෙන් මල පහ වෙලා ඔව්වා ගණන් ගන්ඩ හොඳ නෑ හොඳට හැදුණු ඉහල පැලැන්ති එක උපාධිය ගත්ත අක්කා කෙනෙක් බව විලාසෙන් තේරෙනවා උගත් බුද්ධිමත් ශ්‍රී ලාංකිකයින් ඔව් අය තරම් හිතන්නෑ ඒ ගෑණිට පිස්සු කියලා හිතා ගන්න පුළුවන්,1,B
අක්කා ට කෝරුවාව හැදිලා වගේ කතා කරන්නේ,0,B
අක්කා දැන් ඔය කතාව නවත්තන්න ඔයා හරි වෙන්ඩ පුලුවන් එත් දැන් අපි ඉන්නෙ ලොකු වියසනයක මේවෙලාවෙ හැමෝම එකතුවෙලා වැඩ කරමු ලංකාව කියන්නෙ අමුතු රටක් ඕනම බොරුවක් කියල කෑගහපුවම චියර්එක දෙන්ඩ බලාගන ඉන්න මිනිස්සු කොටසක් ඉන්න රටක් මිනිස්සුන්ව දුප්පත්කමේ තියාගන බලධාරින් පමනක් සුරසැප විදින රටක් නමුත් මේවෙලාවේ බලධාරින්ට සැගවෙන්ඩ කියල යන්ඩ තැනක් රටක් නැති වුනා එමනිසා හැමෝම එකතුවෙලා මේ වෛරසයට විරුද්ධව කටයුතු කරනවා,0,B
අක්කෙ අපිට පෙන්නෙ නම් ඔයා අවුරුදු අසුව්වක් විතර පෙනුම. යකො ඉපදුන රටට ඔය වගෙ කැත විදියට බනින්න එපා. ශ්‍රි ලන්කාවෙ ඉපදෙන්න වාසනාව තිබ්බට එකෙ ජිවත් වෙන්න වාසනාව නැ ඔබලට. කොහොමත් ඔයාලා ලන්කාවට ගන්නෙත් නැ ඔයා ලමයි පහක් නෙවෙයි දහයක් හැදුවත් අපිට පාන්ද. ඔයාට live ඇවිත් කියන්න දෙයක් තියෙනවානම් කියලා යන්න අපෙ රටට බනින්න එපා. අනික ඔයා කිව්වා නෙද වයස 25 පෙනුම තියෙනවා කියලා ඔහෙ සැප හොදට ලැබෙනවා කියලා අපිටත් තෙරෙනවා. ඔය විදියට කැ ගහපු කට්ටියත් අන්තිමට ගියෙ අත්දෙක එකට එකතු කරලා වැදලා.,0,B
අක්‍කෙ ඔයා පරිස්සම් වෙන්න ඔයාගෙ කට හොද නෑ,0,B
අක්කෙ ඔයා මයිල් ගාලද බලන්න එක මයිල් ගහක් බාගෙට ඇමිනිලා අති එකයි කහන්නෙ.,1,B
අක්කෙ ලන්කාවට වඩා ලොකු මීයො ඉන්නවද,1,B
අක්කේ අපිත් උදව්වක් කරමුද,0,B
අක්කේ ඉත්තෑවෝ දුවනවනේ ?පොඩ්ඩක් ලෙඩේ බලාගන්න ඇවිත් ඔහේ බෙහෙත් නැත්නම් එන්න දෙන්නම් ගුලියක් අබරලා ඔය ගතිය ඇරලා යයි...එතකොට ඔයා අවුරුදු 25 කියලා ඉන්න 50 වෙච්ච එකෙක් වද බැන්දේ ? අර්ශශ් නම් බෙහෙත් අර ගන්න නැත්නම් හෙට හෙණ ගේමක් දෙන්න වෙයි...ඒක තමයි කියන්නෙ අවුරුදු 25 වගේ පේණ වදුරොත් එක්ක හු$&@ එපා කියන්නේ...මේ අක්කේ ගැට අන්නාසි තියනවා දෙන්නද ?නිට්ටාවට සුවයි...,1,B
අක්කේ ඉස්සා පුකෙද? ,1,B
අක්කේ උබ හුකාපන්,1,B
අක්කේ ඔයා,0,B
"අක්කේ ඔයාගේ ළමයින් පස් දෙනාගේ තාත්තා එක්කෙනාමද ? , ඔයා හරි අවලස්සනයි..... ඒත් අවුරුදු 18ක පෙනුමක් තියෙන්නෙ. ඔයා ගාල කඩා නොගත් එලදෙනක් වගේ ඔයාගේ කෑම කඩේ වැදගත් විදිහට හැසිරෙනවා මුලු ලංකාවම දැක්කා. ඔයා සිංහල පාවිච්චි කරන්න එපා. ඔයාට allergy වෙන්න පුලුවන් . ඔයා හැර සියලු ලෝක වාසීන්ට අපි නීරෝගී සුවය පතනවා.",1,B
අක්කේ ඔයාට බුදු සරණයි හොඳේ,0,B
අක්කේ ඔයාට වැටකොළු පතෝල එපාද,1,B
අක්කේ ඔයානේද අර බෝට්ටුවෙන් ගියේ,1,B
අක්කේ මේ ඔයාගේ කැතට අපිත් වමනෙ යන්න එනවා හරිද විදිහට කතා කරන්න එපා,1,B
අක්කේ වචන තිබුණාට එලියට දාන්න එපා ලංකාව වාගේ රටක් ඔයාට කොහෙවත් හොයන්න බර වෙඉ උතුම් මිනිස්සු තමයි ඔය පොලිස් මත්තුරු .දන් ඔයාගේ ඉතාලියට මොකද වෙලා තියෙන්නෙ කොහොමඩ රෙදි ඇදන් ඔයා අයෙත් එන්නෙ ..ඔයට මොකක් හරි අසනීප යක් නම් බෙහෙත් ටිකක් ගන්න අම්මා කෙනෙක් විදියට වැදගත් වෙන්න වචල ගනියක් වෙන්න එපා රටක හිටියට ඔයා හරිම මොඩඉනෙ කොහොමද ඔයා රස්සවක් කරන්නේ ඊඊඊඊයා හරි kathai,0,B
අක්කේ... අක්කේ මේ මට පොඩි උදව්වක් කරන්නකො........ උබට හුකපු හුකලා ලමයි පහක් හදපු උබේ පොන්න මිනිහව පොඩ්ඩක් ලංකාවට එවපන්කෝ........ මට හරී ආසයි උබ වගේ වටේ ගිය වේසියේකුට හුකන්නේ නැතුව ඒ දාර පොන්නයට පුකේ අරින්න....... හාද කියපන්කෝ .......,1,B
අගමැති තුමා ඇතුළු රණවිරු පිරිස මිනිසුන්ගේ ජීවිත බේරාගන්නට විටෙක හෙදියන් විටෙක වෛද්‍යවරුන් විටෙක රණවිරුවන් මෙන් මෙම කරගෙන කර්තව්‍යය මුළු ලෝකයම අගය කරනවා .ඔබ සියලු දෙනාටම මෙවැනි සාර්ථක වැඩපිළිවෙළ කරගෙන යාම තුලින් විශාල පිනක් මෙම ජීවිත කාලයේදී ලැබේවි .මම ඉන්න රටේ මිනිසුන් විශාල ගන්නන් මැරෙනවා .දියුණු රටවල් අසරණ වෙලා විසඳුමක් නැතිව ඉන්න වේලාවක ඔබගේ නිහඬ පාලනය අගනා බව සියලු දෙනාටම අවබෝධ වේවා .ඔබ තුමා ඇතුළු සියලුම දෙනාටම සියලු දෙවියන් ආරක්ෂා කරත්වා .,0,B
අගයමි,0,B
අගෙයි. මේ මොහෝතේ වගකීම ඉටු කිරීමක්. උස්සන්න අවසර දෙන්න. සමාජ මාධ්‍ය තුළ විතරක් නොවේ. මහා ජනමාධ්‍ය තුළ ඉඩක් ලැබුනොත් වටිනව.,0,B
අගෙයි. හොඳ ටීම් එකක් හමුවෙලා. වෛද්‍ය සේනාරත්න රෝහලෙත් වෙහෙසවන කෙනෙක්.,0,B
අගෙයි..,0,B
අංගොඩ මානසික රෝහලට යමුද අක්කේ .පිස්සු ගෑනි,1,B
අචිචිගේ රෙද්ද සංවෙිදි උබගේ සක්කිලි කම දැන් ටික ටික එලියට එනවා තෝ එන්න එපා මෙි ලංකාව තෝ ගහලා එලවනවා අයේ ඉතාලියට,1,B
අජිත රෝහන ගෙන් ගහන්නේ නැ බං.දිවා රැ නොබලා ලංකාව බෙිරා ගන්න වැඩ,0,B
අජිත් රොහන මහත්තයො ඔකිට සමාව දෙන්න එපා,1,B
අජිත් රෝහන මහතා අපට දෙවිකෙනෙක්,0,B
අජිත් රෝහෝහණ පුකේ ඇරිය නැති එකටද තො වේසි කැ ගහන්නේ පට්ට බඩු ගහන්නැ කිව්වා තොට ලෙඩ නේද පට්ට වේසි යකෝ අජිත් රෝහණ නියම පොරක් සුපිරි චරිතයක් තො වගේ වෙසකන් කරන්නැ වේසියේ,1,B
අජිත්ගෙ පරන කැල්ලක් ද කොහෙද නැන්නමි මෙවගෙ දගලන්නෙ නැ ,0,B
අඩම්බරයි රැට්ට....,0,B
අඩා තලනවා තොගේ ඇට..,1,B
අඩු කුලේ ඉන්න උන්⁣ෙග් ගතිගුණ ,1,B
අඩුම කාලෙකින් වැඩිම ලයික් ලැබුණු පෝස්ට් එකත් වෙයිද මන්දා ️,0,B
අඩුම ගානේ ඕකිට හරියට මතක නැතුව ඇති දරුවෝ පස් දෙනාගෙ තාත්තාලා වත් කවුද කියල..,1,B
අඩුම ගානේ මේකා O/L වලටවත් විද්‍යාව කියලා කියන විෂයය ඉගෙන ගෙන නැද් ද?,1,B
අඩුම තරමින් ජනතාවට මොනවාද දුන්නෙ.,0,B
අඩෙ අප්පාආආආආ,0,B
අඩෙ එල රැට්ටා..,0,B
අඩෙ තාත්තයි පුතයි නේ,0,B
අඩෙ නනා හරිම සරලයිනිබන් වෙලදාමට අපු උබලා මෙකෙ වැලලෙනිනැතුව අරබියටගියා වලලන්න බරිනමි වෙලලා හරිතියාගතිතා උබලාගේ කලයත්ඉතුරැයි සල්ලිත් ඉතුරැයි 72කටම හුකන්න ජුන්ඩත් ඉතුරැයි මෙක අපේ රට අපිට නියට ඉන්නබැරිනමි No way shut down නනා ,1,B
අඩෙ මාත් ඉන්නවා එලනෙ ඔයි,0,B
අඩෙ යප්පා️,0,B
අඩේ ,0,B
අඩේ ,0,B
අඩේ අතීතයයි වර්ථමානයයි අතර සංවාදයක්,0,B
අඩේ අතීතෙයි වර්තමානෙයි වගේ,0,B
අඩේ අර 83 රට ගිය දෙමල මනුස්සයගෙ පාලුවට ගිය ගේ හදල තියෙන හැඩ,0,B
"අඩේ උබ ජා ඇලනේ..අශෙනුත් මෙහෙනේ,,උබටයි අශේන්ටයි එකම වාසගමනේ,,අයියයි මල්ලී ද ?",0,B
අඩේ ඒක පට්ට,0,B
අඩේ ඕකේ වීඩියෝ එක දාපං ,0,B
අඩේ කවුද අඩේ මූ?,0,B
