comment,label,df
මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,1,D
මන් ඊයේ මුස්ලිම් ඩෑල් එකක් එක්ක සෙල්ෆියක් ගත්තා සහජීවනේ රැකගෙන ඉදිරියට යන්න ඌ ඒක තාම දාලා නෑ...පරයා,1,D
සංහිදියාවට අවුලක් වෙයි ද,0,D
.කටින් පුරසාරම් දොඩන අපි සිංහලයො විදියට ලැජ්ජා විය යුතුයි,1,D
මචන් ඔය මගුල නවත්තලා කොන්දක් තියෙනවානම් පුලුවන්නම් කරලා පෙන්නපන් ඔය දෙසපාලනය කරන අයගෙන් මෙ රටට මොකක්ද වෙලාතියෙන්නෙ කියලා අන්න එදාට උබ නියම කොල්ලෙක්.පුලුවන්නම් කරලා පෙන්නනවාද .,1,D
"හැබැයි ඒ මේ ආණ්ඩුවේ විතරක් නෙවෙයි , රට හූරාගෙන තමන්ගෙ බූදලය කියල හිතාගෙන , රට උගස් තියල සල්ලි නයට අරගෙන තමතමන්ගෙ පරම්පරාවෙ එවුන්ටයි හිතවත් එවුන්ටයි බෙදාගෙන කන සියලුම දේශපාලකයන් දුටු දුටු තැන මරලා දාන දිනය වැඩි ඈතක නෑ",1,D
ලංකාව මොකක්ද.. මෙිකෙ ඉන්නෙ වාහනයක් ගත්තම අලි ඔලුවෙන් ඉන්න පාරෙ යන වෙන එකෙක් ගැන හිතන්නැති නිරැවත් පිංපියො වගෙ එවුන් ටිකක් නෙ.,1,D
උඹ ලෝකයක් ඉස්සරහ හදාගත්ත නම්බුව ලංකාවේ කාලකණ්ණි එක විනාඩියේන් නැති කරයි..... බන්... ඒ හන්ද දේශපාලනය කරන්ට එන්ට එපා මචංංංංං... ගුඩ්ලක්...,1,D
පල්ලියකට ගලක් වැදුනත් පරසක්වල ගහන මූ පන්සල් බිමට සමතලා කරද්දී සද්ද නෑ.මූට කොහොමත් ඡන්දෙ නම් දෙන්නෙ නෑ.,1,D
පංසල් විනාශ කරද්දී ඇරෙන්නේ නැති සංගාගේ කට පල්ලියට ගල් ගහද්දි ඇරුණා .එහෙම නායකත්වයක් සිංහල රට ජාතිය හදයිද,1,D
රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න,1,D
රට හදන්න කලින් මිනිසුන් රවටන ප්‍රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න.,1,D
ජයසූරියත් ආවෙ..කෝ රට හැදුවද ? හැදුවද ? නෑ..නෙ...නෑ නෙ...ඌ ලමයි හැදුවා,1,D
ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ..,1,D
පොන්නයො රට පලනය කරනකොට ඔහොම තමා.ජිවිතේ අසාවෙන් බලපු එකම දේ ක්‍රිකට් එකත් නැති කරා මේ පොන්නයො,1,D
ස්ට්‍රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු,1,D
ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑ.මුන්ගෙ කොන්ද පන නෑ.,1,D
ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්ද.,1,D
කල්ලතෝනි පකෙක්..,1,D
අැත්තටම හරිම සතුටුයි.එ් මනුස්සකමට.එ් වගේම අරාබියට ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ලෝ වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්නවා.,1,D
මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්නත් දෙයක්ද බන්..කාලකන්නි හැත්ත...බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්නත් දෙයක්ද,1,D
තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතයට අද කණ කොකා හඩලා තියෙන්නෙ...ලැජ්ජයි යකෝ...තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක,1,D
මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො,1,D
තෝ වගෙ එකෙක් අනේ මන්ද යකෝ...වැදගත් දෙයක් කරපිය....ගොන් වස්සෙක්....ඉදකින් හුත්තො,1,D
"ඇයි යකෝ ලංකාවේ පොලිසිය,නිරායුධ මිනිසුන්ට ගහන්නේ එලවා එලවා",1,D
පොලිස්සිය තාමත් කැද හැලි වගේ. තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක් දුවා ගන්න බැරි නිසා.,1,D
.ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන්න එපා...මුන්ව හිරේ යවන්නනම් එපා..මරලා දානවා මිසක්,1,D
අනේ මෙහෙමත් කුහක මිනිස්සු...,1,D
මෙතන හොරු හොදට තුවක්කුවලින් වෙඩි තියනවා. පොලිසිය අත වන වන ඇවිත් හොරුන්ගෙන් වෙඩි කනවා ගුටි කනවා.,1,D
මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්...,1,D
කතා කරෝත් මහ ලොකුවට අපි.දකුණේ..කෝන්දක් තීයන1 කේනේක් නෑ පොලිසිය අයියව ..උස්සන්න..ඔය උස්සපු අයියා විතරයි..පිරිමි යේක් කියලා.,1,D
මමනං දැක්කේ..අනිත් ඔක්කෝම පිරිමී ..අපි..අදින ගවුම් වලට වඩා..හෝද නයිටි ටිකක් ඇදගන්න...ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න....දැක්ක හොදම නපුංසකයෝ නම් මාතර තමා....අනේ ප්ලීස්..ඔය මංකොල්ල කාරයෝ.,1,D
ඔක්කෝම .කෝහෝම හරි...වෙඩිතියල මරලා දාන්න..පොලිස්පති තුමනි..අයේත් මේවැනි දේ නොවෙන්න....,1,D
මව් බිම නැති නම් මරණය....මෙයයි තේමා පාටය විය යුත්තේ ...ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි.,1,D
තුවක්කුවක් නැත්තං පැත්තකට වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිව.තුවක්කු තියං ඉන්න මංකොලල කාරයන්ට බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්නත් දෙයක්ද.මේක මහ මෝඩයෙක්,1,D
මත්ද්‍රව්‍යවලට ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා,1,D
යකෝ හරිහමන් තුවක්කුවක් දෙන්න බැරිද බන්.. ඇමති අයගේ වාහන වලට කෝටි ප්‍රකෝටි ගනන් නාස්ති කරනවා ඕන දේකට වියදම් කරන්නේ නෑ...,1,D
අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියාව මරපු මිනිමරුවෝ.එකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහිව,1,D
තවත් එක් සෝමාලියාවක් වගේ.ශිට්,1,D
පාතාලයේ කියන හැම එකාවම මරල දාන්න ඕනා...,1,D
ත්‍රිවිධ හමුදාවට පොලිසිය අසරණ කරන්න තහංචි පනවා. හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකාව.,1,D
කියන්න නම් එපා අපි දකුනේ කියලා....විලි ලැජ්ජයි යකෝ.,1,D
ඕකුන්වත් පෝලිමට තියලා මරලා දාපල්ලා. අර අහිංසකයට වුනා වගේම.,1,D
"වෙනසෙ සැප පේනවනේ ,මෙි රටෙි නිතිය බල්ලට ගිහින්",1,D
දැන් බැන බැන මේකෙ පෝස්ට් දැම්මට මේවා පිලිවෙලට මහින්දගෙ කාලෙ සිද්ධ උනා... ඒවාට අසංවේදී උන මෝඩ උද්ධච්ඡ මිනිස්සුන්ගෙ ඡන්ද වල පිහිටෙන් ලැබුනු වෙනස තමයි මේ තියෙන්න්නේ...,1,D
තුවාල වලට බේත් දානවා වගේ.....කියන්න දුකයි සිංහල ජාතිය කාළකණ්නි ජාතියක් බවට පත් වී හමාරයි,1,D
ඇත්තම කියනවනම් ලංකාව හරිම කාලකන්නි රටක්.,1,D
කාලකන්නි හැතිකරය අපේ සල්ලි වලින් ලබු කන මෙි වාගේ රජයේ අයතන වලට හන හගන්න ඔන,1,D
මුන් ඔක්කොම රට කනවා අනේ අපේ බදු ගන්න සල්ලි,1,D
මොනතරම් ගින්දරක් පපු ඇතුලේ පත්තු වෙනවා අැද්ද...තාත්තා මේ අත් පා උස්මහත් කරපු තාත්තා දෙයියනේ...ශාප වෙයි උඹලට මේ ආත්මෙම..,1,D
උගෙ අප්පගෙ නීතියක්නෙ යකො එක අර රංගෙ බන්ඩාරගෙ පුතා 3 පාරක් වාහනෙ හප්පලා එක මිනිහෙක් මරලා පවුලක් අබ්බගාතයො කරා කො නිතිය මෙපාර ගෙයක් කුඩු කරලා හොදටම බීලා වාහනෙ ඇතුලෙ කඩු පොලු තියෙද්දිත් කොහොමද යකො ඌට ඇප දෙන්නෙ,1,D
ගොං හුත්තී... හැමිනියන් වෙසී... තොට සාප වේනවා බැල්ලීයේ...,1,D
කියන්න දුකයි අපෙ රටේ ලොකු තැන්වල උන් පිරිහිලා ඉවරයි. බලයට ධනයට ආගම ජාතිය විකුණනවා. උන් දන්නෙ නැ උන්ට වෙන්නේ මොකක්ද කියල. මෙවට වගකිවයුතු වන්නේ ඉහළ පෙලෙ ඉන්න උන්. අපෙ ආගම ජාතිය විනාස කරන සක්කිලින්ට කන්න ගූත් නැතිවෙනව කාලකන්නි,1,D
මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,1,D
"අපේ හමුදාව බර අවි, කෙමිකල් මිසයිල පාවිච්චි කරලා සමූලඝාතන සිදුකලා කියලා මේ හුත්තිගෙ මිනිහා කිව්වා,, ඒකම මේ හුත්තිත් කියනවා,,, එහෙම එකේ මේ කැරි වේසිට දඩුවම් දෙන්නෙ එකෙක් නැද්ද.... මේ බල්ලන්ට අල්ලන කැරි වේසි හමගහන්න ඕනි පනපිටින්.",1,D
මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,1,D
සංඝා වහන්සේ ..නමකට..විශේෂයෙන් බුද්ධ චිවරයට අගෞරව කල පාපයට....නුඹට මතු මතුත් සාප වෙිවා....,1,D
කැරි වේසි හෙනගහපිය,1,D
මේ වගේ ගැනු මේ රටේන් එලවන්න ඔන නොදකින් ශාපවේවා,1,D
අපේ අමන පාලකයොන්ගේ වැරදි,1,D
ගොන් වේසී මිනිහා ගිය තැනටම යන්න දගලනවා වගේ,1,D
පල වේසියෙ යන්න මේ ලෝකෙන්ම තොලොන්චි වෙලා හැප්පිය වාහනේකට මැරෙන්නම බැල්ලිව,1,D
මුස්ලිම් රටක ආගමික නායකයකු මෙ දෙ කලානම් රාජ්‍ය ගෙෘරව ජනතාවට දෙවියෝ,1,D
හෙන හත ගහපන්,1,D
මේ කල දේට තෝනමි විඳවලා මැරෙන්න ඕන තොට හෙන හතම වැදියන්.....,1,D
හෙන ගහනවා කැරි වෙසිට,1,D
අපරාද කාරයෝ රට පාවලා දෙන උන් රකින සක්කිලි ආන්ඩුව,1,D
සාප වේවා.... තිට හෙන හතම වැදියන්....,1,D
පට්ට බැල්ලි බල්ලො දම්මලා හුකන්න ඉනී,1,D
ජම්පරේ ගස්සන්ඩ ඕනී.ආයේ චීවරේ නොදාන්නම,1,D
මෙි ගැනිට සාප වෙිවා,1,D
පනපිටින් අපායෙ පල කොටිදෙන,1,D
කොටි දෙනක්,1,D
හම්පඩ පඩංගු දෙමළු වේසාවි .......,1,D
බලු වෙසි තොගෙ අම්මා බල්ලොත් ලැගලා තොව ජාතක කරලා තියෙන්නේ .,1,D
තෙවරප්පෙරැමට අහුඋනොත් ඔක්කොම ගුටි කනවා යකෝ,1,D
