comment,label,df,cleaned
`හුදෙකලා´ එකේ `ද´ ඇහෙනවද කාටහරි,0,B,`හුදෙක එකේ `ද ඇහෙන කාටහරි
18ක පෙනුමක් තියෙන්නේ ,0,B,ක පෙන තියෙ
2020 එනවා කිව්නාට මෙහෙම එයි කියලා හිතුවේ නෑ පට්ට,0,B,එනවා කිව්න මෙහෙම එයි කියලා හිත නෑ පට්ට
25 කැල්ල..හම්මෝ..,0,B,කැල්ල හම්මෝ
25 කෙල්ල අයියලගෙ කාලද කොහෙද ඉන්නෙ,1,B,කෙල්ල අයියල කාලද කොහෙද ඉන්නෙ
25 ක් වගේ ???ඉතින් වැලලියන් ,1,B,ක් වගේ ඉතින් වැලල
25 ලුක් එක දැකල ඔලුව සවුත්තු උන තරිදු...,0,B,ලුක් එක දැකල ඔලුව සවුත්ත උන තරිදු
25ක පෙනුමක් කියපු කෑල්ලේ ඉදන් බලන එක නතර කලා ,0,B,ක පෙන කියපු කෑල්ල ඉදන් බලන එක නතර කලා
"33ක් ගුවන්තොටුපළවල ලෝකයේ හිරවෙලා ඉන්නවා ඩුබායි 3 ඉන්නවලූ 3 දෙනෙක් ගන්න එක ගුවන් යානයක් එවන්නේ රජයේ ලගම ගොටු ද ඔබතුමා මේවා අහන්නෙ නැද්ද ? ටික්ට්ස් අවලංගු ,විසා නොමැති ,ලෙඩ්ඩු කොතරම් ඉන්නවඩ ගුවන් යානයක 200 ක් වත් යන්න පුලුවන් නේද",0,B,ක් ගුවන්තොටුපළ ලෝකයේ හිරවෙ ඉන් ඩුබා ඉන්නවල දෙන ගන්න එක ගුවන් යාන එව රජයේ ලගම ගොටු ද ඔබතුම මේවා අහ නැද්ද ටික්ට්ස අවලංග විසා නොමැ ලෙඩ්ඩ කොතර ඉන්නවඩ ගුවන් යානයක ක් වත් යන්න පුලු නේද
5 දෙනා කිව්වෙ මේ පස්දෙනාද..,0,B,දෙනා කිව් මේ පස්දෙනා
5 ම සීස කරල ගතතෙ අනිත් උන් හුකද්දි හිරට තියෙන්න ඕන නිසාද ..බලු හුත්ති ..,1,B,ම සීස කරල ගතතෙ අනිත් උන් හුකද්දි හිරට තියෙ ඕන නිසාද බලු හුත්
50 එකෙක් අරිද්දි 25 එකෙක් ඇරියා වගේ ඇති..,1,B,එකෙක් අරිද්දි එකෙක් ඇරියා වගේ ඇති
6 වෙනි දරුව මගෙ කියලා හිතුන මම,0,B,වෙනි දරුව මගෙ කියලා හිතුන මම
6 වෙනි දරුවා හදාගන්න ඕනි වෙලා වගේ...,1,B,වෙනි දරුවා හදාග ඕනි වෙලා වගේ
6 වෙනි ලමයා ස්වාභාවිකව හම්බුනානම් ඔච්චර කෑගහන්නෙ නෑ ,1,B,වෙනි ලමයා ස්වාභාවික හම්බුනාන ඔච්චර කෑගහ නෑ
60 වත්තේ බඩූවක්,1,B,වත්තේ බඩූ
Hkzz...,0,B,
"PHI ලයි, පොලීසියයි නැතුව. එයාල ඇත්ත අය. අපේ අය පහයි...",0,B,ලයි පොලීසි නැතුව එයාල ඇත්ත අය අපේ අය පහයි
retire උනහම තාත්තගෙ චරිතෙට ගත්තනම් හරි,0,B,උනහම තාත්ත චරිතෙ ගත්තන හරි
ROX ,0,B,
Unp කියන්නෙ කන්නම ඉපදිච්ච ජාතියක් වැඩිය ඔානෙ නෑ.. මුන්ගෙ කාලෙ හිටපු පොලිස් මාධ්‍ය ප්‍රකාශක හිටියනම් මෙලහටත් හත්පොලේ ගූ ගාගෙන,1,B,කිය කන්නම ඉපද ජාති වැඩිය ඔානෙ නෑ මුන් කාලෙ හිටපු පොලිස මාධ්‍ ප්‍රකාශක හිටියන මෙලහ හත්පොල ගූ ගාගෙන
video කරද්දි තාත්තා විදියට ගන්න හොදයිනේ බං ... ,0,B,කරද්දි තාත්ත විදි ගන්න හොදයින බං
video වල ඉන්න uncle වගේ ,0,B,වල ඉන්න වගේ
අකව්න්ට් එක දාපන්,0,B,අකව්න්ට එක දාපන්
අකාලෙට ඉපදුන කාවයියෙක්,1,B,අකාලෙ ඉපදුන කාවයි
අකි විසිස්ටයි ඔබතුමියගේ කතාව අහගන ඉන්න ආසයි කෙරැවන්සරනයි ඔබතුමියට,0,B,අකි විසිස්ට ඔබතුමි කතාව අහගන ඉන්න ආසයි කෙරැවන්සරන ඔබතුමි
අකිල ඉමල්ක,0,B,අකිල ඉමල්ක
අකිල ඉමල්ක ජාඇල මචං එකට වරෙන් අද රෑ එතැන සෙට් වෙනවා,0,B,අකිල ඉමල්ක ජාඇල මචං එකට වරෙන් අද රෑ එතැන සෙට් වෙනවා
"අකෙ පට්ට..වෙසියෙ..තො.තොගෙ තාත්තට ජතකවද..පහක් වැදුවෙ පදුරැ වෙසි .තො..හිතපිය .තොඉපදුනෙ කොහෙද කියක..බල්ල,මෙවගෙ උතුම් රටක් තවත්..කොහෙද..තියෙන්නෙ..තොකියපු..වචනයක්..ගානෙ..තොගෙ.පවුලටම..සාප.වේවා සාප.වෙවා..සාප.වෙවා",1,B,අකෙ පට්ට වෙසි තො තොගෙ තාත්ත ජතකවද පහක් වැදු පදුරැ වෙසි තො හිත තොඉපදුන කොහෙ කියක බල්ල මෙවගෙ උතුම් රටක් තවත් කොහෙ තියෙ තොකිය වචන ගානෙ තොගෙ පවුල සාප වේවා සාප වෙවා සාප වෙවා
අක්ක කෙනෙක් නේද,0,B,අක්ක කෙන නේද
අක්ක බැදල නැත්තන් අපි පෝලිමක් දාමු අක්කේ...,1,B,අක්ක බැදල නැත්ත අපි පෝලි දාමු අක්කේ
අක්කගේ පූසා හොදටම පිං කරලා තියෙනවා ඉන්න...,0,B,අක් පූසා හොදටම පිං කරලා තියෙ ඉන්න
අක්කට කාරයෙක් හොදටම හුකල වගෙ ඔය හුත්තිගෙ අම්මා ට හිකුවෙත් කාරයෙද්ද කොහෙද වගෙ,1,B,අක්කට කාර හොදටම හුකල වගෙ ඔය හුත්ති අම්මා ට හිකුවෙ කාරයෙද් කොහෙද වගෙ
අක්කත් ඉන්නව එහෙනම්. ,0,B,අක්ක ඉන්නව එහෙන
අක්කා ඔයානම් සුපර් ඔයා කියන්න ඕන දේ මූනටම කියනවා ගොඩක් හොදයි ඔයා ඔයාලට ජේසු පිහිටයි,0,B,අක්කා ඔයාන සුපර් ඔයා කිය ඕන දේ මූනටම කිය ගොඩක් හොදයි ඔයා ඔයාලට ජේසු පිහිට
අක්කා කුඩු ගහලා එක්කෝ මානසික ලෙඩක්,1,B,අක්කා කුඩු ගහලා එක්කෝ මානසික ලෙඩක්
අක්කා ට ඇඳුමෙන් මල පහ වෙලා ඔව්වා ගණන් ගන්ඩ හොඳ නෑ හොඳට හැදුණු ඉහල පැලැන්ති එක උපාධිය ගත්ත අක්කා කෙනෙක් බව විලාසෙන් තේරෙනවා උගත් බුද්ධිමත් ශ්‍රී ලාංකිකයින් ඔව් අය තරම් හිතන්නෑ ඒ ගෑණිට පිස්සු කියලා හිතා ගන්න පුළුවන්,1,B,අක්කා ට ඇඳ මල පහ වෙලා ඔව්වා ගණන් ගන්ඩ හොඳ නෑ හොඳට හැද ඉහල පැලැන් එක උපාධ ගත්ත අක්කා කෙන බව විලාස තේරෙ උගත් බුද්ධිම ශ්‍රී ලාංකිකය ඔව් අය තරම් හිතන්නෑ ඒ ගෑණිට පිස්ස කියලා හිතා ගන්න පුළු
අක්කා ට කෝරුවාව හැදිලා වගේ කතා කරන්නේ,0,B,අක්කා ට කෝරුවා හැද වගේ කතා කර
අක්කා දැන් ඔය කතාව නවත්තන්න ඔයා හරි වෙන්ඩ පුලුවන් එත් දැන් අපි ඉන්නෙ ලොකු වියසනයක මේවෙලාවෙ හැමෝම එකතුවෙලා වැඩ කරමු ලංකාව කියන්නෙ අමුතු රටක් ඕනම බොරුවක් කියල කෑගහපුවම චියර්එක දෙන්ඩ බලාගන ඉන්න මිනිස්සු කොටසක් ඉන්න රටක් මිනිස්සුන්ව දුප්පත්කමේ තියාගන බලධාරින් පමනක් සුරසැප විදින රටක් නමුත් මේවෙලාවේ බලධාරින්ට සැගවෙන්ඩ කියල යන්ඩ තැනක් රටක් නැති වුනා එමනිසා හැමෝම එකතුවෙලා මේ වෛරසයට විරුද්ධව කටයුතු කරනවා,0,B,අක්කා දැන් ඔය කතාව නවත්ත ඔයා හරි වෙන්ඩ පුලු එත් දැන් අපි ඉන්නෙ ලොකු වියසන මේවෙලා හැමෝම එකතුවෙ වැඩ කරමු ලංකාව කිය අමුතු රටක් ඕනම බොරු කියල කෑගහපුව චියර්එක දෙන්ඩ බලාගන ඉන්න මිනිස්ස කොටස ඉන්න රටක් මිනිස්සුන් දුප්පත්ක තියාග බලධාර පමනක් සුරසැප විදින රටක් නමුත් මේවෙල බලධාරි සැගවෙන්ඩ කියල යන්ඩ තැනක් රටක් නැති වුනා එමනිස හැමෝම එකතුවෙ මේ වෛරස විරුද්ධ කටයුත කරනවා
අක්කෙ අපිට පෙන්නෙ නම් ඔයා අවුරුදු අසුව්වක් විතර පෙනුම. යකො ඉපදුන රටට ඔය වගෙ කැත විදියට බනින්න එපා. ශ්‍රි ලන්කාවෙ ඉපදෙන්න වාසනාව තිබ්බට එකෙ ජිවත් වෙන්න වාසනාව නැ ඔබලට. කොහොමත් ඔයාලා ලන්කාවට ගන්නෙත් නැ ඔයා ලමයි පහක් නෙවෙයි දහයක් හැදුවත් අපිට පාන්ද. ඔයාට live ඇවිත් කියන්න දෙයක් තියෙනවානම් කියලා යන්න අපෙ රටට බනින්න එපා. අනික ඔයා කිව්වා නෙද වයස 25 පෙනුම තියෙනවා කියලා ඔහෙ සැප හොදට ලැබෙනවා කියලා අපිටත් තෙරෙනවා. ඔය විදියට කැ ගහපු කට්ටියත් අන්තිමට ගියෙ අත්දෙක එකට එකතු කරලා වැදලා.,0,B,අක්කෙ අපිට පෙ නම් ඔයා අවුරුද අසුව් විතර පෙනුම යකො ඉපදුන රටට ඔය වගෙ කැත විදි බනි එපා ශ්‍රි ලන්කා ඉපදෙ වාසනා තිබ්බ එකෙ ජිවත් වෙන්න වාසනා නැ ඔබලට කොහොම ඔයාලා ලන්කා ගන්නෙ නැ ඔයා ලමයි පහක් නෙවෙ දහයක් හැද අපිට පාන්ද ඔයාට ඇවිත් කිය දෙයක් තියෙනවාන කියලා යන්න අපෙ රටට බනි එපා අනික ඔයා කිව් නෙද වයස පෙනුම තියෙ කියලා ඔහෙ සැප හොදට ලැබෙ කියලා අපි තෙරෙ ඔය විදි කැ ගහපු කට්ටි අන්ති ගියෙ අත්දෙක එකට එකතු කරලා වැදලා
අක්‍කෙ ඔයා පරිස්සම් වෙන්න ඔයාගෙ කට හොද නෑ,0,B,අක්‍ ඔයා පරිස්ස වෙන්න ඔයාගෙ කට හොද නෑ
අක්කෙ ඔයා මයිල් ගාලද බලන්න එක මයිල් ගහක් බාගෙට ඇමිනිලා අති එකයි කහන්නෙ.,1,B,අක්කෙ ඔයා මයිල් ගාලද බලන්න එක මයිල් ගහක් බාගෙට ඇමින අති එකයි කහ
අක්කෙ ලන්කාවට වඩා ලොකු මීයො ඉන්නවද,1,B,අක්කෙ ලන්කා වඩා ලොකු මීයො ඉන්න
අක්කේ අපිත් උදව්වක් කරමුද,0,B,අක්කේ අපිත් උදව් කරමුද
අක්කේ ඉත්තෑවෝ දුවනවනේ ?පොඩ්ඩක් ලෙඩේ බලාගන්න ඇවිත් ඔහේ බෙහෙත් නැත්නම් එන්න දෙන්නම් ගුලියක් අබරලා ඔය ගතිය ඇරලා යයි...එතකොට ඔයා අවුරුදු 25 කියලා ඉන්න 50 වෙච්ච එකෙක් වද බැන්දේ ? අර්ශශ් නම් බෙහෙත් අර ගන්න නැත්නම් හෙට හෙණ ගේමක් දෙන්න වෙයි...ඒක තමයි කියන්නෙ අවුරුදු 25 වගේ පේණ වදුරොත් එක්ක හු$&@ එපා කියන්නේ...මේ අක්කේ ගැට අන්නාසි තියනවා දෙන්නද ?නිට්ටාවට සුවයි...,1,B,අක්කේ ඉත්තෑ දුවනවන පොඩ්ඩ ලෙඩේ බලාග ඇවිත් ඔහේ බෙහෙ නැත්න එන්න දෙන්න ගුලි අබරලා ඔය ගතිය ඇරලා යයි එතකොට ඔයා අවුරුද කියලා ඉන්න වෙච්ච එකෙක් වද බැන්ද අර්ශශ නම් බෙහෙ අර ගන්න නැත්න හෙට හෙණ ගේමක් දෙන්න වෙයි ඒක තමයි කිය අවුරුද වගේ පේණ වදුර එක්ක හු එපා කිය මේ අක්කේ ගැට අන්නාසි තිය දෙන්න නිට්ටා සුවයි
අක්කේ ඉස්සා පුකෙද? ,1,B,අක්කේ ඉස්සා පුකෙද
අක්කේ උබ හුකාපන්,1,B,අක්කේ උබ හුක
අක්කේ ඔයා,0,B,අක්කේ ඔයා
"අක්කේ ඔයාගේ ළමයින් පස් දෙනාගේ තාත්තා එක්කෙනාමද ? , ඔයා හරි අවලස්සනයි..... ඒත් අවුරුදු 18ක පෙනුමක් තියෙන්නෙ. ඔයා ගාල කඩා නොගත් එලදෙනක් වගේ ඔයාගේ කෑම කඩේ වැදගත් විදිහට හැසිරෙනවා මුලු ලංකාවම දැක්කා. ඔයා සිංහල පාවිච්චි කරන්න එපා. ඔයාට allergy වෙන්න පුලුවන් . ඔයා හැර සියලු ලෝක වාසීන්ට අපි නීරෝගී සුවය පතනවා.",1,B,අක්කේ ඔයාගේ ළමය පස් දෙන තාත්ත එක්කෙනාම ඔයා හරි අවලස්සන ඒත් අවුරුද ක පෙන තියෙ ඔයා ගාල කඩා නොගත් එලදෙන වගේ ඔයාගේ කෑම කඩේ වැදග විදිහ හැසිරෙ මුලු ලංකාව දැක් ඔයා සිංහල පාවිච්චි කරන්න එපා ඔයාට වෙන්න පුලු ඔයා හැර සියලු ලෝක වාසී අපි නීරෝග සුවය පතනවා
අක්කේ ඔයාට බුදු සරණයි හොඳේ,0,B,අක්කේ ඔයාට බුදු සරණයි හොඳේ
අක්කේ ඔයාට වැටකොළු පතෝල එපාද,1,B,අක්කේ ඔයාට වැටකොළ පතෝල එපාද
අක්කේ ඔයානේද අර බෝට්ටුවෙන් ගියේ,1,B,අක්කේ ඔයානේ අර බෝට්ටු ගියේ
අක්කේ මේ ඔයාගේ කැතට අපිත් වමනෙ යන්න එනවා හරිද විදිහට කතා කරන්න එපා,1,B,අක්කේ මේ ඔයාගේ කැතට අපිත් වමනෙ යන්න එනවා හරිද විදිහ කතා කරන්න එපා
අක්කේ වචන තිබුණාට එලියට දාන්න එපා ලංකාව වාගේ රටක් ඔයාට කොහෙවත් හොයන්න බර වෙඉ උතුම් මිනිස්සු තමයි ඔය පොලිස් මත්තුරු .දන් ඔයාගේ ඉතාලියට මොකද වෙලා තියෙන්නෙ කොහොමඩ රෙදි ඇදන් ඔයා අයෙත් එන්නෙ ..ඔයට මොකක් හරි අසනීප යක් නම් බෙහෙත් ටිකක් ගන්න අම්මා කෙනෙක් විදියට වැදගත් වෙන්න වචල ගනියක් වෙන්න එපා රටක හිටියට ඔයා හරිම මොඩඉනෙ කොහොමද ඔයා රස්සවක් කරන්නේ ඊඊඊඊයා හරි kathai,0,B,අක්කේ වචන තිබ එලියට දාන්න එපා ලංකාව වාගේ රටක් ඔයාට කොහෙ හොය බර වෙඉ උතුම් මිනිස්ස තමයි ඔය පොලිස මත්තුර දන් ඔයාගේ ඉතාලි මොකද වෙලා තියෙ කොහොමඩ රෙදි ඇදන් ඔයා අයෙත් එන්නෙ ඔයට මොකක් හරි අසනීප යක් නම් බෙහෙ ටිකක් ගන්න අම්මා කෙන විදි වැදග වෙන්න වචල ග වෙන්න එපා රටක හිටි ඔයා හරිම මොඩඉන කොහොම ඔයා රස්ස කර ඊඊඊඊ හරි
අක්කේ... අක්කේ මේ මට පොඩි උදව්වක් කරන්නකො........ උබට හුකපු හුකලා ලමයි පහක් හදපු උබේ පොන්න මිනිහව පොඩ්ඩක් ලංකාවට එවපන්කෝ........ මට හරී ආසයි උබ වගේ වටේ ගිය වේසියේකුට හුකන්නේ නැතුව ඒ දාර පොන්නයට පුකේ අරින්න....... හාද කියපන්කෝ .......,1,B,අක්කේ අක්කේ මේ මට පොඩි උදව් කරන්නක උබට හුකපු හුකලා ලමයි පහක් හදපු උබේ පොන්න මිනිහ පොඩ්ඩ ලංකා එවපන්ක මට හරී ආසයි උබ වගේ වටේ ගිය වේසියේ හුක නැතුව ඒ දාර පොන්න පුකේ අරි හාද කියපන්ක
