Dataset	Accuracy	F1-score	Recall	Precision	AUC				
df_A	0.804225	0.589633	0.451987	0.847826	0.707669				
df_B	0.847689	0.861377	0.868852	0.854028	0.845614				
df_C	0.820755	0.387097	0.242424	0.960000	0.619674				
df_D	0.679724	0.582583	0.487437	0.723881	0.664995				
df_A_B	0.820760	0.767308	0.692683	0.859955	0.804372				
df_A_C	0.797377	0.550235	0.416785	0.809392	0.687622				
df_A_D	0.773053	0.569145	0.443337	0.794643	0.692407				
df_A_B_C	0.824508	0.758309	0.675676	0.863971	0.801262				
df_A_B_D	0.812529	0.757850	0.682436	0.852003	0.796528				
df_A_C_D	0.781630	0.561378	0.433481	0.796334	0.690369				
df_all	0.811317	0.743122	0.662023	0.846865	0.789028				
