Step	Accuracy	F1-score	Recall	Precision	AUC
baseline	0.807316	0.647170	0.567881	0.752193	0.741682
seperator	0.828439	0.692521	0.620861	0.782881	0.771537
url	0.806801	0.645222	0.564570	0.752759	0.740400
mention	0.806801	0.645222	0.564570	0.752759	0.740400
number	0.806285	0.646617	0.569536	0.747826	0.741388
non_sinhala	0.806801	0.645222	0.564570	0.752759	0.740400
special_characters	0.806801	0.645222	0.564570	0.752759	0.740400
puntuation	0.824317	0.693621	0.639073	0.758350	0.773538
puntuation_special	0.825348	0.696509	0.644040	0.758285	0.775647
emoji_remove	0.807316	0.645833	0.564570	0.754425	0.740774
stop_word	0.808861	0.647673	0.564570	0.759465	0.741896
stem	0.816074	0.665417	0.587748	0.766739	0.753485
custom_stem	0.813498	0.670909	0.610927	0.743952	0.757969
Final	0.827409	0.705365	0.663907	0.752345	0.782589
