Step	Accuracy	F1-score	Recall	Precision	AUC
baseline	0.827731	0.834008	0.794600	0.877529	0.830979
seperator	0.835084	0.841093	0.801350	0.884984	0.838391
url	0.829832	0.836198	0.797493	0.878852	0.833002
mention	0.829832	0.836198	0.797493	0.878852	0.833002
number	0.825630	0.831984	0.792671	0.875399	0.828862
non_sinhala	0.827731	0.834176	0.795564	0.876727	0.830885
special_characters	0.829832	0.836198	0.797493	0.878852	0.833002
puntuation	0.840336	0.847236	0.812922	0.884575	0.843024
puntuation_special	0.841912	0.848820	0.814851	0.885744	0.844565
emoji_remove	0.829832	0.836198	0.797493	0.878852	0.833002
stop_word	0.830357	0.834951	0.787850	0.888043	0.834525
stem	0.826155	0.833249	0.797493	0.872363	0.828966
custom_stem	0.841387	0.847936	0.811958	0.887250	0.844272
Final	0.849265	0.855996	0.822565	0.892259	0.851882
